PASS
BenchmarkMakeMap	10000000	       166 ns/op	      48 B/op	       1 allocs/op
BenchmarkMakeMap100	  200000	      6681 ns/op	    4656 B/op	       2 allocs/op
BenchmarkMakeSlice	50000000	        40.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkMakeSliceLen100	  500000	      2617 ns/op	    1664 B/op	       1 allocs/op
BenchmarkMakeSliceCap100	  500000	      2576 ns/op	    1664 B/op	       1 allocs/op
BenchmarkMakeChan	10000000	       185 ns/op	      96 B/op	       1 allocs/op
BenchmarkMakeChan1	 5000000	       255 ns/op	     112 B/op	       2 allocs/op
BenchmarkMakeChan100	  500000	      2679 ns/op	    1760 B/op	       2 allocs/op
BenchmarkNewString	30000000	        54.7 ns/op	      16 B/op	       1 allocs/op
BenchmarkNewSmallStruct	20000000	        87.7 ns/op	      32 B/op	       1 allocs/op
BenchmarkNewSmallStructLit	500000000	         3.38 ns/op	       0 B/op	       0 allocs/op
BenchmarkNewSmallStructLitP	20000000	        87.8 ns/op	      32 B/op	       1 allocs/op
BenchmarkNewBigStruct	 5000000	       394 ns/op	     208 B/op	       1 allocs/op
BenchmarkNewBigStructLit	200000000	         9.83 ns/op	       0 B/op	       0 allocs/op
BenchmarkNewBigStructLitP	 5000000	       399 ns/op	     208 B/op	       1 allocs/op
BenchmarkNewClosure	30000000	        58.0 ns/op	      16 B/op	       1 allocs/op
BenchmarkArrayIndex	500000000	         3.40 ns/op	       0 B/op	       0 allocs/op
BenchmarkArrayIndex2	500000000	         3.75 ns/op	       0 B/op	       0 allocs/op
BenchmarkArrayIndex3	500000000	         3.43 ns/op	       0 B/op	       0 allocs/op
BenchmarkArraySlicing	200000000	         6.79 ns/op	       0 B/op	       0 allocs/op
BenchmarkSliceIndex	500000000	         3.37 ns/op	       0 B/op	       0 allocs/op
BenchmarkBitAnd	500000000	         3.38 ns/op	       0 B/op	       0 allocs/op
BenchmarkBitOr	500000000	         3.37 ns/op	       0 B/op	       0 allocs/op
BenchmarkBitXor	500000000	         3.39 ns/op	       0 B/op	       0 allocs/op
BenchmarkBitAndNot	500000000	         3.38 ns/op	       0 B/op	       0 allocs/op
BenchmarkBitShiftLeft	500000000	         3.80 ns/op	       0 B/op	       0 allocs/op
